不良贷款控制,个人不良贷款,个人不良贷款控制计划完成率
全客户“五主”综合经营,主融资客户增长,信用贷获客能力,信用贷首签客户数
全客户“五主”综合经营,主融资客户增长,信用贷获客能力,考核口径信用贷首签客户数
全客户“五主”综合经营,主投资客户增长,代理业务销售,私行代销标准化产品保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,代为推介保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,券商基金保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,公募基金保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,代销他行理财公司非货新理财（零售）保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,代销他行理财公司非货新理财（私行）保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,私行代销标准化产品保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,代为推介保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,券商基金保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,公募基金保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,代销他行理财公司非货新理财（零售）保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,代销他行理财公司非货新理财（私行）保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,净值型产品保有量
全客户“五主”综合经营,主投资客户增长,代理业务销售,净值型产品保有量_上年末
全客户“五主”综合经营,主投资客户增长,代理业务销售,净值型产品保有量增量
全客户“五主”综合经营,主投资客户增长,代理业务销售,净值型产品保有量增量计划
全客户“五主”综合经营,主投资客户增长,代理业务销售,净值型产品保有量增量计划完成率
全客户“五主”综合经营,主投资客户增长,代理业务销售,保险价值保费销量
全客户“五主”综合经营,主投资客户增长,代理业务销售,保险价值保费销量计划
全客户“五主”综合经营,主投资客户增长,代理业务销售,保险价值保费销量计划完成率
全客户“五主”综合经营,主投资客户增长,代理业务销售,私人银行客户保险销量
全客户“五主”综合经营,主投资客户增长,代理业务销售,私人银行客户保险销量计划
全客户“五主”综合经营,主投资客户增长,代理业务销售,私人银行客户保险销量计划完成率
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币理财富裕客户
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币理财富裕客户_上年末
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币理财富裕客户增量
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币理财富裕客户增量计划
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币理财富裕客户增量计划完成率
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币基金富裕客户
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币基金富裕客户_上年末
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币基金富裕客户增量
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币基金富裕客户增量计划
全客户“五主”综合经营,主投资客户增长,富裕客户交叉覆盖,非货币基金富裕客户增量计划完成率
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,资配达标贵宾客户
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,资配达标贵宾客户_上年末
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,资配达标贵宾客户增量
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,资配达标贵宾客户增量计划
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,资配达标贵宾客户增量计划完成率
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,非货币基金贵宾客户
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,非货币基金贵宾客户_上年末
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,非货币基金贵宾客户增量
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,非货币基金贵宾客户增量计划
全客户“五主”综合经营,主投资客户增长,贵宾客户资产配置,非货币基金贵宾客户增量计划完成率
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,资配达标私行客户
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,资配达标私行客户_上年末
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,资配达标私行客户增量
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,资配达标私行客户增量计划
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,资配达标私行客户增量计划完成率
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,持有复杂产品私行客户
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,持有复杂产品私行客户_上年末
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,私行客户复杂产品覆盖率
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,持有复杂产品私行客户增量
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,持有复杂产品私行客户增量计划
全客户“五主”综合经营,主投资客户增长,私人银行客户资产配置,持有复杂产品私行客户增量计划完成率
全客户“五主”综合经营,主投资客户增长,养老金账户,养老金账户开户客户数
全客户“五主”综合经营,主投资客户增长,养老金账户,养老金账户开户客户数计划
全客户“五主”综合经营,主投资客户增长,养老金账户,养老金账户开户客户数计划完成率
全客户“五主”综合经营,主投资客户增长,养老金账户,养老金缴存客户数
全客户“五主”综合经营,主投资客户增长,养老金账户,养老金缴存客户数计划
